Year,Index,SD_log,Zscore,Type,Survey
2003,636.87 ,0.272741768,-0.83,sdmTMB_gam,WCGBTS
2004,1418.16 ,0.311950397,1.73,sdmTMB_gam,WCGBTS
2005,1626.90 ,0.316872111,2.41,sdmTMB_gam,WCGBTS
2006,705.49 ,0.273858537,-0.60,sdmTMB_gam,WCGBTS
2007,829.64 ,0.257386401,-0.19,sdmTMB_gam,WCGBTS
2008,936.24 ,0.258626804,0.15,sdmTMB_gam,WCGBTS
2009,1073.78 ,0.308320191,0.60,sdmTMB_gam,WCGBTS
2010,880.11 ,0.284540815,-0.03,sdmTMB_gam,WCGBTS
2011,1133.82 ,0.288843931,0.80,sdmTMB_gam,WCGBTS
2012,629.06 ,0.358074817,-0.85,sdmTMB_gam,WCGBTS
2013,874.82 ,0.329324731,-0.05,sdmTMB_gam,WCGBTS
2014,515.37 ,0.364526848,-1.22,sdmTMB_gam,WCGBTS
2015,1222.34 ,0.275883441,1.09,sdmTMB_gam,WCGBTS
2016,1051.30 ,0.293360822,0.53,sdmTMB_gam,WCGBTS
2017,584.35 ,0.318358536,-1.00,sdmTMB_gam,WCGBTS
2018,819.03 ,0.302686745,-0.23,sdmTMB_gam,WCGBTS
2019,904.21 ,0.484773657,0.05,sdmTMB_gam,WCGBTS
2021,1039.75 ,0.275282059,0.49,sdmTMB_gam,WCGBTS
2022,524.49 ,0.371651982,-1.19,sdmTMB_gam,WCGBTS
2023,873.81 ,0.313040142,-0.05,sdmTMB_gam,WCGBTS
2024,391.29 ,0.390250196,-1.63,sdmTMB_gam,WCGBTS
2003,587.44 ,0.284158485,-1.25,sdmTMB_log,WCGBTS
2004,1103.86 ,0.31659719,0.59,sdmTMB_log,WCGBTS
2005,1254.90 ,0.314718218,1.13,sdmTMB_log,WCGBTS
2006,879.84 ,0.292059127,-0.21,sdmTMB_log,WCGBTS
2007,989.82 ,0.270434674,0.18,sdmTMB_log,WCGBTS
2008,1176.71 ,0.275605106,0.85,sdmTMB_log,WCGBTS
2009,1394.73 ,0.324770336,1.63,sdmTMB_log,WCGBTS
2010,946.15 ,0.305289889,0.03,sdmTMB_log,WCGBTS
2011,1097.15 ,0.307970892,0.57,sdmTMB_log,WCGBTS
2012,644.69 ,0.367265505,-1.05,sdmTMB_log,WCGBTS
2013,1305.83 ,0.356714892,1.31,sdmTMB_log,WCGBTS
2014,451.23 ,0.390497053,-1.74,sdmTMB_log,WCGBTS
2015,1293.00 ,0.28263401,1.27,sdmTMB_log,WCGBTS
2016,940.60 ,0.305028225,0.01,sdmTMB_log,WCGBTS
2017,635.10 ,0.335360456,-1.08,sdmTMB_log,WCGBTS
2018,1001.71 ,0.325457288,0.23,sdmTMB_log,WCGBTS
2019,1042.59 ,0.519611088,0.37,sdmTMB_log,WCGBTS
2021,981.88 ,0.298315774,0.16,sdmTMB_log,WCGBTS
2022,581.11 ,0.397441081,-1.27,sdmTMB_log,WCGBTS
2023,899.91 ,0.320484433,-0.14,sdmTMB_log,WCGBTS
2024,491.01 ,0.39615467,-1.60,sdmTMB_log,WCGBTS
2003,512.50 ,0.3587,-1.66,GLMM_log,WCGBTS
2004,1130.90 ,0.3947,0.64,GLMM_log,WCGBTS
2005,1366.46 ,0.3916,1.51,GLMM_log,WCGBTS
2006,727.52 ,0.3601,-0.86,GLMM_log,WCGBTS
2007,780.51 ,0.3351,-0.66,GLMM_log,WCGBTS
2008,1063.01 ,0.3342,0.39,GLMM_log,WCGBTS
2009,1181.97 ,0.3743,0.83,GLMM_log,WCGBTS
2010,1008.90 ,0.3664,0.19,GLMM_log,WCGBTS
2011,1136.46 ,0.3496,0.66,GLMM_log,WCGBTS
2012,681.45 ,0.4099,-1.03,GLMM_log,WCGBTS
1980,329.29 ,0.415329386,-0.30,sdmTMB_gam,Triennial
1983,129.22 ,0.291643764,-1.07,sdmTMB_gam,Triennial
1986,209.14 ,0.258850139,-0.76,sdmTMB_gam,Triennial
1989,244.03 ,0.254132973,-0.63,sdmTMB_gam,Triennial
1992,324.65 ,0.251488265,-0.32,sdmTMB_gam,Triennial
1995,795.64 ,0.201945505,1.51,sdmTMB_gam,Triennial
1998,304.92 ,0.225305723,-0.39,sdmTMB_gam,Triennial
2001,870.38 ,0.21629198,1.80,sdmTMB_gam,Triennial
2004,447.64 ,0.246906879,0.16,sdmTMB_gam,Triennial
1980,428.93 ,0.455546299,-0.26,sdmTMB_log,Triennial
1983,189.88 ,0.333587314,-1.26,sdmTMB_log,Triennial
1986,301.67 ,0.295859127,-0.79,sdmTMB_log,Triennial
1989,327.57 ,0.284666407,-0.69,sdmTMB_log,Triennial
1992,453.27 ,0.287636717,-0.16,sdmTMB_log,Triennial
1995,940.02 ,0.241596871,1.86,sdmTMB_log,Triennial
1998,413.27 ,0.267198991,-0.33,sdmTMB_log,Triennial
2001,787.50 ,0.248255394,1.22,sdmTMB_log,Triennial
2004,592.75 ,0.283590608,0.42,sdmTMB_log,Triennial
1980,325.77 ,0.4594,-0.73,GLMM_log,Triennial
1983,125.38 ,0.3077,-1.35,GLMM_log,Triennial
1986,423.90 ,0.3195,-0.42,GLMM_log,Triennial
1989,326.62 ,0.3014,-0.73,GLMM_log,Triennial
1992,429.25 ,0.3598,-0.41,GLMM_log,Triennial
1995,1078.99 ,0.2889,1.60,GLMM_log,Triennial
1998,579.97 ,0.326,0.06,GLMM_log,Triennial
2001,999.44 ,0.3218,1.35,GLMM_log,Triennial
2004,761.36 ,0.325,0.62,GLMM_log,Triennial
1999,996.90 ,0.48328206,-0.66,sdmTMB_gam,NWFSC_slope
2000,1205.31 ,0.557564043,-0.35,sdmTMB_gam,NWFSC_slope
2001,2426.93 ,0.453226334,1.49,sdmTMB_gam,NWFSC_slope
2002,1125.36 ,0.521374211,-0.47,sdmTMB_gam,NWFSC_slope
1999,971.91 ,0.631425469,-0.64,sdmTMB_log,NWFSC_slope
2000,1511.10 ,0.71596362,0.02,sdmTMB_log,NWFSC_slope
2001,2648.94 ,0.570697185,1.41,sdmTMB_log,NWFSC_slope
2002,853.24 ,0.568074687,-0.78,sdmTMB_log,NWFSC_slope
1999,496.27 ,0.4896,-0.26,GLMM_log,NWFSC_slope
2000,536.45 ,0.5527,-0.15,GLMM_log,NWFSC_slope
2001,1113.27 ,0.4757,1.40,GLMM_log,NWFSC_slope
2002,228.42 ,0.5498,-0.98,GLMM_log,NWFSC_slope
1997,330.99 ,0.523009754,-0.46,sdmTMB_gam,AFSC_slope
1999,164.90 ,0.56106827,-0.90,sdmTMB_gam,AFSC_slope
2000,1030.64 ,0.488503073,1.41,sdmTMB_gam,AFSC_slope
2001,480.73 ,0.606575947,-0.06,sdmTMB_gam,AFSC_slope
1997,422.40 ,0.548365627,-0.37,sdmTMB_log,AFSC_slope
1999,224.37 ,0.556431059,-1.04,sdmTMB_log,AFSC_slope
2000,927.53 ,0.510263113,1.34,sdmTMB_log,AFSC_slope
2001,550.77 ,0.620308946,0.07,sdmTMB_log,AFSC_slope
1997,406.20 ,0.5276,-0.49,GLMM_log,AFSC_slope
1999,258.75 ,0.4256,-0.93,GLMM_log,AFSC_slope
2000,1036.92 ,0.4133,1.38,GLMM_log,AFSC_slope
2001,584.98 ,0.5512,0.04,GLMM_log,AFSC_slope
